date,month,day_of_week,shift,covers,avg_ticket_eur,sales_eur,food_cost_pct,food_cost_eur,staff_cost_eur,staff_pct,other_costs_eur,prime_cost_pct,net_profit_eur,revpash_eur,table_turnover,waste_pct,temperature_c,booking_channel,google_rating,staff_count,net_profit_rf_eur
2023-01-08,1,Sunday,Lunch,37,14.14,523.18,29.4,153.81,140.74,26.9,189.36,56.3,39.27,2.99,1.48,12.5,14.3,Google Maps,4.1,3,46.02
2023-01-08,1,Sunday,Lunch,46,16.43,755.78,22.0,166.27,295.51,39.1,171.21,61.1,122.79,4.32,1.84,3.3,14.6,Walk-in,4.6,4,109.46
2023-01-09,1,Monday,Lunch,22,9.94,218.68,36.3,79.38,71.29,32.6,98.62,68.9,-30.61,1.25,0.88,9.1,13.6,Walk-in,4.2,6,-93.1
2023-01-09,1,Monday,Dinner,21,18.27,383.67,31.7,121.62,105.51,27.5,190.54,59.2,-34.0,1.71,0.84,8.7,16.1,WhatsApp,4.0,6,-37.04
2023-01-10,1,Tuesday,Dinner,30,22.78,683.4,32.8,224.16,202.97,29.7,175.57,62.5,80.7,3.04,1.2,8.1,14.4,Walk-in,4.2,4,78.0
2023-01-10,1,Tuesday,Lunch,25,19.96,499.0,29.1,145.21,185.13,37.1,147.05,66.2,21.61,2.85,1.0,8.2,14.8,Walk-in,4.8,5,-2.27
2023-01-11,1,Wednesday,Lunch,31,18.32,567.92,33.1,187.98,197.64,34.8,239.38,67.9,-57.08,3.25,1.24,5.0,14.6,Walk-in,3.7,4,-9.58
2023-01-12,1,Thursday,Lunch,38,12.91,490.58,38.3,187.89,112.83,23.0,220.12,61.3,-30.26,2.8,1.52,7.0,14.5,Google Maps,4.1,3,28.48
2023-01-12,1,Thursday,Dinner,23,21.32,490.36,28.1,137.79,123.08,25.1,299.75,53.2,-70.26,2.18,0.92,10.9,15.3,Phone,4.4,4,14.5
2023-01-13,1,Friday,Lunch,41,9.66,396.06,37.7,149.31,103.37,26.1,227.57,63.8,-84.19,2.26,1.64,11.8,14.1,Website,4.2,3,-55.13
2023-01-14,1,Saturday,Lunch,51,15.99,815.49,32.6,265.85,226.71,27.8,161.05,60.4,161.88,4.66,2.04,6.7,14.2,WhatsApp,4.0,4,129.12
2023-01-15,1,Sunday,Dinner,46,17.18,790.28,27.5,217.33,213.38,27.0,149.24,54.5,210.33,3.51,1.84,3.3,17.1,Phone,3.9,3,150.9
2023-01-15,1,Sunday,Lunch,54,16.15,872.1,39.8,347.1,263.37,30.2,167.76,70.0,93.87,4.98,2.16,5.7,14.4,Phone,4.0,4,93.38
2023-01-15,1,Sunday,Dinner,35,25.72,900.2,32.6,293.47,303.37,33.7,160.0,66.3,143.36,4.0,1.4,13.6,15.8,Walk-in,4.3,4,120.79
2023-01-15,1,Sunday,Lunch,22,10.86,238.92,33.7,80.52,82.43,34.5,194.9,68.2,-118.93,1.37,0.88,5.8,13.2,Walk-in,4.3,5,-100.74
2023-01-15,1,Sunday,Lunch,43,9.42,405.06,29.9,121.11,115.04,28.4,120.75,58.3,48.16,2.31,1.72,7.7,14.1,Walk-in,4.9,4,28.19
2023-01-16,1,Monday,Lunch,23,13.86,318.78,27.8,88.62,69.49,21.8,219.13,49.6,-58.46,1.82,0.92,12.2,12.5,Walk-in,3.5,6,-54.87
2023-01-17,1,Tuesday,Dinner,41,22.89,938.49,31.7,297.5,232.75,24.8,194.1,56.5,214.14,4.17,1.64,6.4,18.7,Walk-in,4.8,6,188.13
2023-01-18,1,Wednesday,Dinner,40,23.09,923.6,37.3,344.5,253.07,27.4,213.96,64.7,112.07,4.1,1.6,7.5,17.8,Walk-in,4.0,3,132.36
2023-01-19,1,Thursday,Dinner,35,17.25,603.75,29.8,179.92,143.69,23.8,138.51,53.6,141.63,2.68,1.4,10.4,16.2,Walk-in,4.1,5,76.5
2023-01-20,1,Friday,Lunch,49,17.53,858.97,30.9,265.42,306.65,35.7,201.1,66.6,85.8,4.91,1.96,13.1,19.3,Website,4.4,6,113.85
2023-01-21,1,Saturday,Dinner,39,18.42,718.38,36.8,264.36,173.13,24.1,248.46,60.9,32.43,3.19,1.56,6.1,16.5,Phone,4.4,5,54.82
2023-01-21,1,Saturday,Lunch,28,13.99,391.72,29.8,116.73,129.66,33.1,151.28,62.9,-5.95,2.24,1.12,12.2,14.7,Website,4.6,5,-7.95
2023-01-22,1,Sunday,Lunch,42,11.57,485.94,33.0,160.36,104.96,21.6,150.05,54.6,70.57,2.78,1.68,7.2,15.7,Phone,4.6,2,53.68
2023-01-22,1,Sunday,Dinner,51,22.22,1133.22,34.5,390.96,377.36,33.3,222.04,67.8,142.86,5.04,2.04,5.3,17.7,Phone,4.1,3,222.79
2023-01-23,1,Monday,Lunch,24,15.47,371.28,30.2,112.13,108.79,29.3,146.39,59.5,3.97,2.12,0.96,8.7,13.2,Walk-in,4.7,3,-40.31
2023-01-23,1,Monday,Lunch,25,13.95,348.75,32.2,112.3,131.13,37.6,179.5,69.8,-74.18,1.99,1.0,4.5,12.7,Walk-in,3.8,6,-63.99
2023-01-23,1,Monday,Lunch,18,10.11,181.98,33.6,61.15,44.22,24.3,256.41,57.9,-179.8,1.04,0.72,9.4,15.8,Walk-in,4.0,3,-143.22
2023-01-23,1,Monday,Lunch,19,11.7,222.3,29.4,65.36,60.47,27.2,150.68,56.6,-54.21,1.27,0.76,17.4,13.8,Website,4.0,4,-107.22
2023-01-25,1,Wednesday,Lunch,34,17.71,602.14,34.3,206.53,169.2,28.1,259.5,62.4,-33.09,3.44,1.36,11.3,10.5,Website,3.9,5,25.11
2023-01-25,1,Wednesday,Dinner,26,18.27,475.02,28.8,136.81,138.71,29.2,174.89,58.0,24.61,2.11,1.04,7.7,12.5,Walk-in,4.1,3,-4.8
2023-01-25,1,Wednesday,Lunch,27,15.88,428.76,28.3,121.34,121.34,28.3,139.55,56.6,46.53,2.45,1.08,11.2,14.4,Walk-in,4.5,4,10.01
2023-01-26,1,Thursday,Dinner,33,24.29,801.57,24.9,199.59,227.65,28.4,217.17,53.3,157.16,3.56,1.32,5.2,15.1,Phone,4.4,4,155.06
2023-01-26,1,Thursday,Dinner,37,20.95,775.15,29.0,224.79,219.37,28.3,194.85,57.3,136.14,3.45,1.48,5.7,15.2,Walk-in,3.9,5,147.56
2023-01-27,1,Friday,Lunch,39,12.02,468.78,27.7,129.85,93.76,20.0,190.59,47.7,54.58,2.68,1.56,7.8,19.0,Phone,3.8,5,57.16
2023-01-28,1,Saturday,Lunch,29,10.87,315.23,29.4,92.68,110.33,35.0,155.41,64.4,-43.19,1.8,1.16,8.3,14.6,Walk-in,3.8,5,-62.6
2023-01-28,1,Saturday,Lunch,33,15.64,516.12,33.4,172.38,228.64,44.3,194.52,77.7,-79.42,2.95,1.32,4.1,15.6,Phone,4.1,4,-42.27
2023-01-28,1,Saturday,Dinner,43,24.53,1054.79,24.1,254.2,332.26,31.5,96.96,55.6,371.37,4.69,1.72,7.1,11.7,Walk-in,3.5,2,307.51
2023-01-28,1,Saturday,Lunch,43,10.41,447.63,23.1,103.4,108.77,24.3,199.84,47.4,35.62,2.56,1.72,7.6,14.9,Phone,3.7,4,46.99
2023-01-29,1,Sunday,Dinner,43,20.26,871.18,28.0,243.93,216.05,24.8,248.38,52.8,162.82,3.87,1.72,12.6,15.7,Walk-in,3.9,4,214.45
2023-01-29,1,Sunday,Lunch,46,12.75,586.5,32.8,192.37,194.13,33.1,110.56,65.9,89.44,3.35,1.84,4.1,12.2,Phone,4.5,5,54.31
2023-02-01,2,Wednesday,Dinner,31,16.33,506.23,32.2,163.01,161.49,31.9,171.7,64.1,10.03,2.25,1.24,3.8,14.3,Website,4.0,3,-0.76
2023-02-02,2,Thursday,Lunch,33,15.02,495.66,27.9,138.29,141.76,28.6,150.64,56.5,64.97,2.83,1.32,8.5,17.2,Walk-in,4.5,4,40.25
2023-02-02,2,Thursday,Lunch,30,9.13,273.9,35.7,97.78,92.58,33.8,122.0,69.5,-38.46,1.57,1.2,11.5,15.1,WhatsApp,4.2,4,-64.73
2023-02-03,2,Friday,Dinner,53,25.63,1358.39,28.4,385.78,271.68,20.0,97.62,48.4,603.31,6.04,2.12,9.7,16.0,WhatsApp,3.9,3,533.07
2023-02-03,2,Friday,Dinner,55,19.64,1080.2,32.8,354.31,365.11,33.8,136.86,66.6,223.92,4.8,2.2,8.9,17.3,Website,3.9,3,197.98
2023-02-04,2,Saturday,Lunch,28,9.6,268.8,29.5,79.3,83.87,31.2,179.09,60.7,-73.46,1.54,1.12,7.1,20.3,Google Maps,3.6,4,-73.84
2023-02-04,2,Saturday,Dinner,38,16.73,635.74,27.5,174.83,158.94,25.0,241.71,52.5,60.26,2.83,1.52,10.0,15.8,Google Maps,5.0,5,70.58
2023-02-05,2,Sunday,Lunch,41,12.36,506.76,28.6,144.93,115.54,22.8,121.48,51.4,124.81,2.9,1.64,10.5,19.7,WhatsApp,4.5,3,88.07
2023-02-05,2,Sunday,Dinner,38,21.92,832.96,33.9,282.37,254.89,30.6,203.25,64.5,92.45,3.7,1.52,7.2,12.3,Walk-in,4.3,4,125.87
2023-02-06,2,Monday,Dinner,30,21.14,634.2,32.4,205.48,234.65,37.0,199.88,69.4,-5.81,2.82,1.2,5.2,16.5,Phone,3.6,5,7.2
2023-02-06,2,Monday,Lunch,22,17.85,392.7,34.9,137.05,113.49,28.9,265.24,63.8,-123.08,2.24,0.88,5.2,15.5,Website,3.9,5,-56.5
2023-02-06,2,Monday,Lunch,16,12.13,194.08,32.4,62.88,49.88,25.7,215.7,58.1,-134.38,1.11,0.64,10.6,15.1,Google Maps,3.7,4,-136.4
2023-02-07,2,Tuesday,Lunch,35,13.41,469.35,24.6,115.46,145.5,31.0,218.29,55.6,-9.9,2.68,1.4,3.4,17.5,Website,4.2,4,20.84
2023-02-08,2,Wednesday,Lunch,33,13.08,431.64,39.5,170.5,168.77,39.1,221.47,78.6,-129.1,2.47,1.32,13.0,15.8,Google Maps,3.7,5,-83.75
2023-02-08,2,Wednesday,Dinner,33,19.06,628.98,32.5,204.42,202.53,32.2,148.41,64.7,73.62,2.8,1.32,6.6,12.2,WhatsApp,3.8,5,54.81
2023-02-08,2,Wednesday,Lunch,45,13.51,607.95,33.1,201.23,198.8,32.7,164.22,65.8,43.7,3.47,1.8,8.9,13.0,Google Maps,3.7,3,50.57
2023-02-08,2,Wednesday,Lunch,33,13.46,444.18,29.5,131.03,160.35,36.1,240.26,65.6,-87.46,2.54,1.32,10.1,17.6,Google Maps,4.0,6,-55.05
2023-02-08,2,Wednesday,Dinner,28,15.0,420.0,35.5,149.1,136.08,32.4,97.71,67.9,37.11,1.87,1.12,5.9,12.9,Phone,4.1,4,-10.52
2023-02-09,2,Thursday,Dinner,15,19.88,298.2,26.6,79.32,77.83,26.1,159.3,52.7,-18.25,1.33,0.6,6.6,17.7,Website,4.0,5,-52.22
2023-02-10,2,Friday,Lunch,39,12.62,492.18,33.4,164.39,104.83,21.3,130.11,54.7,92.85,2.81,1.56,8.4,16.5,WhatsApp,4.7,3,59.85
2023-02-10,2,Friday,Lunch,54,15.63,844.02,22.7,191.59,214.38,25.4,200.54,48.1,237.51,4.82,2.16,5.4,15.9,WhatsApp,4.4,4,183.65
2023-02-10,2,Friday,Lunch,40,12.7,508.0,33.7,171.2,124.46,24.5,171.03,58.2,41.31,2.9,1.6,4.8,16.0,Google Maps,3.8,4,47.87
2023-02-11,2,Saturday,Lunch,18,13.76,247.68,26.7,66.13,82.48,33.3,218.17,60.0,-119.1,1.42,0.72,5.1,17.2,Walk-in,4.2,2,-103.27
2023-02-11,2,Saturday,Dinner,36,25.82,929.52,32.1,298.38,316.04,34.0,185.1,66.1,130.0,4.13,1.44,11.6,13.9,Walk-in,3.8,3,127.97
2023-02-12,2,Sunday,Lunch,51,14.56,742.56,36.4,270.29,229.45,30.9,120.43,67.3,122.39,4.24,2.04,9.2,16.3,Website,3.9,3,81.74
2023-02-12,2,Sunday,Dinner,46,26.63,1224.98,34.3,420.17,290.32,23.7,122.51,58.0,391.98,5.44,1.84,5.6,13.9,Phone,4.3,2,366.08
2023-02-15,2,Wednesday,Lunch,24,12.72,305.28,35.9,109.6,118.75,38.9,189.73,74.8,-112.8,1.74,0.96,10.6,16.5,Walk-in,4.4,4,-101.6
2023-02-15,2,Wednesday,Dinner,26,22.33,580.58,35.5,206.11,161.98,27.9,155.3,63.4,57.19,2.58,1.04,5.8,17.5,Walk-in,3.9,4,38.03
2023-02-16,2,Thursday,Dinner,27,19.32,521.64,28.9,150.75,172.14,33.0,166.03,61.9,32.72,2.32,1.08,2.1,16.5,WhatsApp,3.7,6,4.1
2023-02-16,2,Thursday,Dinner,26,24.0,624.0,33.4,208.42,188.45,30.2,232.23,63.6,-5.1,2.77,1.04,10.1,17.4,WhatsApp,4.1,3,36.5
2023-02-16,2,Thursday,Lunch,15,15.66,234.9,24.1,56.61,72.82,31.0,224.16,55.1,-118.69,1.34,0.6,12.9,14.8,WhatsApp,4.3,4,-105.84
2023-02-16,2,Thursday,Lunch,37,15.29,565.73,28.3,160.1,185.56,32.8,270.9,61.1,-50.83,3.23,1.48,9.7,16.1,Google Maps,3.8,3,31.31
2023-02-16,2,Thursday,Lunch,41,15.79,647.39,36.6,236.94,171.56,26.5,175.76,63.1,63.13,3.7,1.64,2.3,15.7,Phone,4.4,2,49.04
2023-02-17,2,Friday,Dinner,25,18.56,464.0,29.5,136.88,169.36,36.5,161.15,66.0,-3.39,2.06,1.0,7.9,15.6,Walk-in,4.4,5,-29.64
2023-02-17,2,Friday,Dinner,53,20.41,1081.73,23.5,254.21,239.06,22.1,208.82,45.6,379.64,4.81,2.12,7.2,14.6,Walk-in,3.8,5,357.44
2023-02-18,2,Saturday,Dinner,40,27.04,1081.6,39.1,422.91,268.24,24.8,164.76,63.9,225.69,4.81,1.6,9.1,15.3,WhatsApp,4.6,5,244.96
2023-02-18,2,Saturday,Dinner,53,21.6,1144.8,33.2,380.07,417.85,36.5,166.24,69.7,180.64,5.09,2.12,5.5,14.0,Walk-in,4.6,2,206.42
2023-02-20,2,Monday,Dinner,21,18.32,384.72,34.1,131.19,126.96,33.0,180.91,67.1,-54.34,1.71,0.84,7.0,12.8,Google Maps,4.9,4,-49.96
2023-02-20,2,Monday,Lunch,21,11.72,246.12,27.1,66.7,105.09,42.7,264.37,69.8,-190.04,1.41,0.84,3.7,14.8,Phone,4.8,5,-139.11
2023-02-20,2,Monday,Dinner,23,23.03,529.69,32.1,170.03,160.5,30.3,221.68,62.4,-22.52,2.35,0.92,8.7,17.5,Phone,3.7,5,21.93
2023-02-20,2,Monday,Lunch,17,12.68,215.56,32.0,68.98,82.99,38.5,226.4,70.5,-162.81,1.23,0.68,3.9,16.7,Website,4.5,5,-147.1
2023-02-22,2,Wednesday,Lunch,40,11.15,446.0,27.7,123.54,92.32,20.7,262.35,48.4,-32.21,2.55,1.6,9.3,13.7,Walk-in,4.5,5,-26.46
2023-02-22,2,Wednesday,Lunch,22,9.85,216.7,30.3,65.66,49.62,22.9,230.61,53.2,-129.19,1.24,0.88,5.7,15.4,Google Maps,4.0,5,-99.47
2023-02-22,2,Wednesday,Lunch,28,11.42,319.76,25.0,79.94,110.32,34.5,139.09,59.5,-9.59,1.83,1.12,1.0,17.6,Walk-in,4.3,4,-20.25
2023-02-22,2,Wednesday,Lunch,35,17.68,618.8,29.6,183.16,131.8,21.3,229.93,50.9,73.91,3.54,1.4,10.4,15.3,Walk-in,3.3,4,76.65
2023-02-23,2,Thursday,Dinner,27,22.35,603.45,34.9,210.6,175.0,29.0,235.64,63.9,-17.79,2.68,1.08,9.5,13.4,Phone,3.3,5,27.46
2023-02-23,2,Thursday,Lunch,37,19.86,734.82,28.0,205.75,263.07,35.8,219.33,63.8,46.67,4.2,1.48,12.1,20.7,Walk-in,3.4,4,81.92
2023-02-23,2,Thursday,Dinner,41,17.31,709.71,38.6,273.95,230.66,32.5,181.21,71.1,23.89,3.15,1.64,1.7,15.9,Google Maps,4.3,5,30.24
2023-02-25,2,Saturday,Lunch,51,15.6,795.6,25.3,201.29,239.48,30.1,214.58,55.4,140.25,4.55,2.04,6.0,13.9,Phone,4.3,5,134.36
2023-02-25,2,Saturday,Lunch,21,12.81,269.01,30.0,80.7,74.78,27.8,189.09,57.8,-75.56,1.54,0.84,8.4,16.5,Walk-in,4.0,3,-82.97
2023-02-27,2,Monday,Lunch,21,12.26,257.46,28.4,73.12,79.81,31.0,145.99,59.4,-41.46,1.47,0.84,9.7,16.0,Walk-in,4.8,2,-77.15
2023-02-27,2,Monday,Lunch,26,9.29,241.54,30.3,73.19,79.47,32.9,157.17,63.2,-68.29,1.38,1.04,3.6,13.1,Google Maps,4.5,4,-75.0
2023-02-27,2,Monday,Dinner,14,16.07,224.98,36.5,82.12,60.07,26.7,221.67,63.2,-138.88,1.0,0.56,9.3,16.4,WhatsApp,3.5,3,-112.66
2023-02-27,2,Monday,Lunch,25,9.65,241.25,27.1,65.38,76.96,31.9,149.24,59.0,-50.33,1.38,1.0,6.3,18.2,Phone,4.0,4,-76.68
2023-02-28,2,Tuesday,Dinner,36,17.94,645.84,29.2,188.59,228.63,35.4,153.48,64.6,75.14,2.87,1.44,2.4,15.7,Phone,3.7,4,45.37
2023-03-02,3,Thursday,Lunch,27,17.48,471.96,33.6,158.58,136.4,28.9,223.9,62.5,-46.92,2.7,1.08,5.7,15.4,Google Maps,4.3,7,-21.32
2023-03-03,3,Friday,Dinner,63,20.74,1306.62,31.4,410.28,395.91,30.3,196.02,61.7,304.41,5.81,2.52,9.5,20.2,Google Maps,4.1,6,282.36
2023-03-04,3,Saturday,Dinner,56,24.66,1380.96,31.7,437.76,447.43,32.4,215.97,64.1,279.8,6.14,2.24,2.6,20.7,Walk-in,3.7,6,289.68
2023-03-04,3,Saturday,Dinner,61,21.23,1295.03,27.1,350.95,424.77,32.8,134.69,59.9,384.62,5.76,2.44,9.9,18.3,Google Maps,4.8,4,308.97
2023-03-04,3,Saturday,Lunch,40,23.79,951.6,30.7,292.14,327.35,34.4,214.72,65.1,117.39,5.44,1.6,8.9,18.3,Google Maps,4.1,7,120.33
2023-03-04,3,Saturday,Lunch,54,14.28,771.12,35.5,273.75,192.01,24.9,160.3,60.4,145.06,4.41,2.16,7.2,24.0,Google Maps,3.9,6,137.95
2023-03-06,3,Monday,Lunch,15,17.54,263.1,24.6,64.72,72.09,27.4,144.24,52.0,-17.95,1.5,0.6,3.1,18.2,Google Maps,4.0,6,-53.02
2023-03-06,3,Monday,Dinner,11,29.42,323.62,28.2,91.26,89.0,27.5,167.26,55.7,-23.9,1.44,0.44,3.3,17.3,Website,4.7,2,-5.22
2023-03-08,3,Wednesday,Lunch,41,15.87,650.67,23.7,154.21,165.92,25.5,251.29,49.2,79.25,3.72,1.64,6.8,19.6,Walk-in,4.5,7,92.53
2023-03-10,3,Friday,Lunch,67,17.39,1165.13,33.1,385.66,244.68,21.0,173.6,54.1,361.19,6.66,2.68,4.6,20.6,Website,4.0,8,318.48
2023-03-10,3,Friday,Dinner,56,37.38,2093.28,35.9,751.49,418.66,20.0,289.06,55.9,634.07,9.3,2.24,7.0,20.6,Phone,3.7,5,660.09
2023-03-10,3,Friday,Lunch,51,16.83,858.33,30.3,260.07,309.0,36.0,97.2,66.3,192.06,4.9,2.04,10.7,14.6,Google Maps,3.8,5,133.84
2023-03-10,3,Friday,Dinner,50,31.12,1556.0,27.0,420.12,345.43,22.2,120.42,49.2,670.03,6.92,2.0,7.2,18.2,Walk-in,3.9,4,585.62
2023-03-11,3,Saturday,Lunch,40,9.0,360.0,27.1,97.56,136.08,37.8,249.59,64.9,-123.23,2.06,1.6,7.1,21.8,Phone,4.3,3,-93.28
2023-03-13,3,Monday,Lunch,25,18.02,450.5,29.8,134.25,151.82,33.7,260.9,63.5,-96.47,2.57,1.0,7.1,20.2,Google Maps,4.4,4,-36.05
2023-03-13,3,Monday,Dinner,30,27.83,834.9,29.8,248.8,233.77,28.0,151.14,57.8,201.19,3.71,1.2,11.0,17.0,Google Maps,3.8,7,180.47
2023-03-14,3,Tuesday,Lunch,35,22.35,782.25,34.6,270.66,258.92,33.1,193.1,67.7,59.57,4.47,1.4,11.9,22.0,Walk-in,4.4,7,96.04
2023-03-15,3,Wednesday,Dinner,47,30.5,1433.5,28.3,405.68,460.15,32.1,222.05,60.4,345.62,6.37,1.88,9.3,21.4,Phone,3.7,4,376.02
2023-03-16,3,Thursday,Lunch,41,16.48,675.68,32.7,220.95,165.54,24.5,179.68,57.2,109.51,3.86,1.64,8.4,18.9,Walk-in,3.9,4,77.66
2023-03-16,3,Thursday,Lunch,43,21.42,921.06,29.8,274.48,275.4,29.9,196.74,59.7,174.44,5.26,1.72,8.7,21.3,Website,3.5,8,198.44
2023-03-16,3,Thursday,Dinner,48,18.46,886.08,28.0,248.1,222.41,25.1,190.49,53.1,225.08,3.94,1.92,12.3,23.5,WhatsApp,3.5,3,207.87
2023-03-16,3,Thursday,Dinner,34,19.23,653.82,29.7,194.18,217.72,33.3,123.33,63.0,118.59,2.91,1.36,9.4,17.4,Walk-in,3.7,4,87.94
2023-03-17,3,Friday,Dinner,61,25.65,1564.65,32.3,505.38,413.07,26.4,174.49,58.7,471.71,6.95,2.44,12.6,20.6,WhatsApp,4.1,4,426.73
2023-03-17,3,Friday,Lunch,47,16.86,792.42,34.7,274.97,233.76,29.5,190.56,64.2,93.13,4.53,1.88,6.7,23.5,WhatsApp,3.7,3,82.27
2023-03-19,3,Sunday,Dinner,57,21.48,1224.36,30.0,367.31,358.74,29.3,194.64,59.3,303.67,5.44,2.28,4.0,20.8,Phone,4.7,4,274.77
2023-03-19,3,Sunday,Lunch,44,22.28,980.32,26.2,256.84,299.98,30.6,112.13,56.8,311.37,5.6,1.76,6.0,18.0,Google Maps,3.7,4,263.29
2023-03-19,3,Sunday,Lunch,40,16.0,640.0,35.0,224.0,245.12,38.3,223.92,73.3,-53.04,3.66,1.6,6.3,20.0,Phone,4.2,4,-36.09
2023-03-19,3,Sunday,Dinner,54,24.54,1325.16,27.4,363.09,381.65,28.8,195.83,56.2,384.59,5.89,2.16,12.8,22.2,Google Maps,4.6,7,350.28
2023-03-21,3,Tuesday,Lunch,21,17.89,375.69,32.0,120.22,135.62,36.1,142.51,68.1,-22.66,2.15,0.84,10.2,17.5,Walk-in,4.1,3,-42.27
2023-03-22,3,Wednesday,Dinner,37,17.58,650.46,30.9,200.99,210.75,32.4,270.96,63.3,-32.24,2.89,1.48,6.1,19.4,Walk-in,4.0,5,25.82
2023-03-22,3,Wednesday,Lunch,23,9.55,219.65,30.4,66.77,81.49,37.1,174.4,67.5,-103.01,1.26,0.92,10.4,19.0,Phone,4.2,4,-100.2
2023-03-22,3,Wednesday,Lunch,47,17.45,820.15,29.1,238.66,232.1,28.3,177.33,57.4,172.06,4.69,1.88,7.6,18.2,Walk-in,3.9,5,156.38
2023-03-24,3,Friday,Lunch,66,21.58,1424.28,33.5,477.13,477.13,33.5,218.88,67.0,251.14,8.14,2.64,12.9,20.0,WhatsApp,3.7,4,279.29
2023-03-25,3,Saturday,Dinner,41,17.75,727.75,22.0,160.1,216.14,29.7,274.78,51.7,76.73,3.23,1.64,7.0,19.3,Walk-in,4.3,5,94.29
2023-03-26,3,Sunday,Dinner,58,30.9,1792.2,35.5,636.23,358.44,20.0,220.65,55.5,576.88,7.97,2.32,3.4,20.8,Phone,3.9,5,530.46
2023-03-27,3,Monday,Dinner,33,18.88,623.04,27.3,170.09,153.27,24.6,227.17,51.9,72.51,2.77,1.32,7.4,21.8,WhatsApp,4.5,7,95.75
2023-03-27,3,Monday,Dinner,33,20.95,691.35,32.6,225.38,227.45,32.9,144.93,65.5,93.59,3.07,1.32,7.0,17.0,Phone,4.4,4,71.39
2023-03-27,3,Monday,Dinner,28,25.81,722.68,32.4,234.15,235.59,32.6,193.91,65.0,59.03,3.21,1.12,4.0,19.6,Phone,4.2,7,58.41
2023-03-29,3,Wednesday,Dinner,47,27.61,1297.67,36.1,468.46,304.95,23.5,166.05,59.6,358.21,5.77,1.88,9.8,19.4,Website,4.5,4,367.14
2023-03-30,3,Thursday,Lunch,33,23.03,759.99,31.8,241.68,236.36,31.1,221.69,62.9,60.26,4.34,1.32,12.3,19.9,WhatsApp,3.9,5,94.4
2023-03-31,3,Friday,Lunch,53,14.61,774.33,27.7,214.49,251.66,32.5,225.86,60.2,82.32,4.42,2.12,4.6,19.5,Walk-in,4.4,8,115.36
